loss,label,L_int,width
0,0 dB/cm,1.9497011619761205e-08,1.9837471749312046
0,0 dB/cm,4.254765342783569e-08,1.9837471749312046
0,0 dB/cm,9.28502709810351e-08,1.9837471749312046
0,0 dB/cm,2.026239316787203e-07,1.9837471749312046
0,0 dB/cm,4.4217919081063963e-07,1.9837471749312046
0,0 dB/cm,9.649523388775795e-07,1.9837471749312046
0,0 dB/cm,2.105782080333271e-06,1.9837471749312046
0,0 dB/cm,4.595375327045337e-06,1.9837471749312046
0,0 dB/cm,1.0028328474081647e-05,1.9837471749312046
0,0 dB/cm,2.188447402591988e-05,1.9837471749312046
0,0 dB/cm,4.7757729977529524e-05,1.9837471749312046
0,0 dB/cm,0.00010422004065097707,1.9837471749312046
0,0 dB/cm,0.0002274357863826841,1.0010800350287905
0,0 dB/cm,0.000496325242289425,0.45838417867242776
0,0 dB/cm,0.0010831133923628277,0.21029464433809045
0,0 dB/cm,0.002363640856355269,0.09594087460585694
0,0 dB/cm,0.005158091606312971,0.043609488457207704
0,0 dB/cm,0.011256324727836447,0.018412895126376554
0,0 dB/cm,0.02456428773452348,0.00872189769144154
0,0 dB/cm,0.05360579465269565,0.0029072992304804133
0,0 dB/cm,0.11698206971856727,0.0009690997434934711
10,10 dB/cm,1.9497011619761205e-08,1.9837471749312046
10,10 dB/cm,4.254765342783569e-08,1.9837471749312046
10,10 dB/cm,9.28502709810351e-08,1.9837471749312046
10,10 dB/cm,2.026239316787203e-07,1.9837471749312046
10,10 dB/cm,4.4217919081063963e-07,1.9837471749312046
10,10 dB/cm,9.649523388775795e-07,1.9837471749312046
10,10 dB/cm,2.105782080333271e-06,1.9837471749312046
10,10 dB/cm,4.595375327045337e-06,1.9837471749312046
10,10 dB/cm,1.0028328474081647e-05,1.9837471749312046
10,10 dB/cm,2.188447402591988e-05,1.9837471749312046
10,10 dB/cm,4.7757729977529524e-05,1.9837471749312046
10,10 dB/cm,0.00010422004065097707,1.9837471749312046
10,10 dB/cm,0.0002274357863826841,1.0030182345157774
10,10 dB/cm,0.000496325242289425,0.4603223781594147
10,10 dB/cm,0.0010831133923628277,0.21417104331206463
10,10 dB/cm,0.002363640856355269,0.09981727357983099
10,10 dB/cm,0.005158091606312971,0.04748588743118174
10,10 dB/cm,0.011256324727836447,0.024227493587337678
10,10 dB/cm,0.02456428773452348,0.014536496152402668
10,10 dB/cm,0.05360579465269565,0.010660097178428482
10,10 dB/cm,0.11698206971856727,0.00872189769144154
30,30 dB/cm,1.9497011619761205e-08,1.9837471749312046
30,30 dB/cm,4.254765342783569e-08,1.9837471749312046
30,30 dB/cm,9.28502709810351e-08,1.9837471749312046
30,30 dB/cm,2.026239316787203e-07,1.9837471749312046
30,30 dB/cm,4.4217919081063963e-07,1.9837471749312046
30,30 dB/cm,9.649523388775795e-07,1.9837471749312046
30,30 dB/cm,2.105782080333271e-06,1.9837471749312046
30,30 dB/cm,4.595375327045337e-06,1.9837471749312046
30,30 dB/cm,1.0028328474081647e-05,1.9837471749312046
30,30 dB/cm,2.188447402591988e-05,1.9837471749312046
30,30 dB/cm,4.7757729977529524e-05,1.9837471749312046
30,30 dB/cm,0.00010422004065097707,1.9837471749312046
30,30 dB/cm,0.0002274357863826841,1.0107710324637256
30,30 dB/cm,0.000496325242289425,0.47195157508133695
30,30 dB/cm,0.0010831133923628277,0.2219238412600127
30,30 dB/cm,0.002363640856355269,0.10950827101476614
30,30 dB/cm,0.005158091606312971,0.05911508435310384
30,30 dB/cm,0.011256324727836447,0.037794889996246576
30,30 dB/cm,0.02456428773452348,0.03198029153528575
30,30 dB/cm,0.05360579465269565,0.028103892561311565
30,30 dB/cm,0.11698206971856727,0.028103892561311565
100,100 dB/cm,1.9497011619761205e-08,1.9837471749312046
100,100 dB/cm,4.254765342783569e-08,1.9837471749312046
100,100 dB/cm,9.28502709810351e-08,1.9837471749312046
100,100 dB/cm,2.026239316787203e-07,1.9837471749312046
100,100 dB/cm,4.4217919081063963e-07,1.9837471749312046
100,100 dB/cm,9.649523388775795e-07,1.9837471749312046
100,100 dB/cm,2.105782080333271e-06,1.9837471749312046
100,100 dB/cm,4.595375327045337e-06,1.9837471749312046
100,100 dB/cm,1.0028328474081647e-05,1.9837471749312046
100,100 dB/cm,2.188447402591988e-05,1.9837471749312046
100,100 dB/cm,4.7757729977529524e-05,1.9837471749312046
100,100 dB/cm,0.00010422004065097707,1.9837471749312046
100,100 dB/cm,0.0002274357863826841,1.0437204237425046
100,100 dB/cm,0.000496325242289425,0.5029627668731289
100,100 dB/cm,0.0010831133923628277,0.2568114320257789
100,100 dB/cm,0.002363640856355269,0.15214865972848038
100,100 dB/cm,0.005158091606312971,0.11338466998874003
100,100 dB/cm,0.011256324727836447,0.10175547306681808
100,100 dB/cm,0.02456428773452348,0.09594087460585694
100,100 dB/cm,0.05360579465269565,0.09400267511887
100,100 dB/cm,0.11698206971856727,0.09400267511887
