sigmaE,L_int,width,label
0.12398419843320028,0.0001949701159322123,0.8440649744315125,"$0.5\,\sigma_E$"
0.12398419843320028,0.0002723469708703007,0.742932765513451,"$0.5\,\sigma_E$"
0.12398419843320028,0.00038043200716984284,0.5990138528223636,"$0.5\,\sigma_E$"
0.12398419843320028,0.0005314122335078183,0.4395361387592668,"$0.5\,\sigma_E$"
0.12398419843320028,0.0007423112582524952,0.31117602744018896,"$0.5\,\sigma_E$"
0.12398419843320028,0.0010369087675891734,0.22171291955113462,"$0.5\,\sigma_E$"
0.12398419843320028,0.0014484217777249165,0.15558801372009443,"$0.5\,\sigma_E$"
0.12398419843320028,0.00202324998279792,0.10891160960406612,"$0.5\,\sigma_E$"
0.12398419843320028,0.0028262075010510026,0.0777940068600473,"$0.5\,\sigma_E$"
0.12398419843320028,0.003947830919020317,0.05445580480203306,"$0.5\,\sigma_E$"
0.12398419843320028,0.005514587644175787,0.0350073030870212,"$0.5\,\sigma_E$"
0.12398419843320028,0.007703135597520191,0.02722790240101653,"$0.5\,\sigma_E$"
0.12398419843320028,0.010760242082008202,0.01944850171501186,"$0.5\,\sigma_E$"
0.12398419843320028,0.015030607756754698,0.011669101029007116,"$0.5\,\sigma_E$"
0.12398419843320028,0.020995732978458297,0.003889700343002372,"$0.5\,\sigma_E$"
0.12398419843320028,0.02932820884136362,0.003889700343002372,"$0.5\,\sigma_E$"
0.12398419843320028,0.04096755444190252,0.003889700343002372,"$0.5\,\sigma_E$"
0.12398419843320028,0.057226151314879,0.003889700343002372,"$0.5\,\sigma_E$"
0.12398419843320028,0.07993721956133804,0.003889700343002372,"$0.5\,\sigma_E$"
0.12398419843320028,0.11166152055268735,0.003889700343002372,"$0.5\,\sigma_E$"
0.12398419843320028,0.1559760927457698,0.003889700343002372,"$0.5\,\sigma_E$"
0.18597629764980042,0.0001949701159322123,1.085226395697659,"$0.75\,\sigma_E$"
0.18597629764980042,0.0002723469708703007,0.8751825771755314,"$0.75\,\sigma_E$"
0.18597629764980042,0.00038043200716984284,0.6418005565953897,"$0.75\,\sigma_E$"
0.18597629764980042,0.0005314122335078183,0.4434258391022693,"$0.75\,\sigma_E$"
0.18597629764980042,0.0007423112582524952,0.30923117726868776,"$0.75\,\sigma_E$"
0.18597629764980042,0.0010369087675891734,0.22171291955113462,"$0.75\,\sigma_E$"
0.18597629764980042,0.0014484217777249165,0.15169831337709205,"$0.75\,\sigma_E$"
0.18597629764980042,0.00202324998279792,0.10502190926106382,"$0.75\,\sigma_E$"
0.18597629764980042,0.0028262075010510026,0.07584915668854614,"$0.75\,\sigma_E$"
0.18597629764980042,0.003947830919020317,0.05251095463053191,"$0.75\,\sigma_E$"
0.18597629764980042,0.005514587644175787,0.04084185360152487,"$0.75\,\sigma_E$"
0.18597629764980042,0.007703135597520191,0.02917275257251768,"$0.75\,\sigma_E$"
0.18597629764980042,0.010760242082008202,0.017503651543510638,"$0.75\,\sigma_E$"
0.18597629764980042,0.015030607756754698,0.005834550514503596,"$0.75\,\sigma_E$"
0.18597629764980042,0.020995732978458297,0.005834550514503596,"$0.75\,\sigma_E$"
0.18597629764980042,0.02932820884136362,0.005834550514503596,"$0.75\,\sigma_E$"
0.18597629764980042,0.04096755444190252,0.005834550514503596,"$0.75\,\sigma_E$"
0.18597629764980042,0.057226151314879,0.005834550514503596,"$0.75\,\sigma_E$"
0.18597629764980042,0.07993721956133804,0.005834550514503596,"$0.75\,\sigma_E$"
0.18597629764980042,0.11166152055268735,0.005834550514503596,"$0.75\,\sigma_E$"
0.18597629764980042,0.1559760927457698,0.005834550514503596,"$0.75\,\sigma_E$"
0.24796839686640057,0.0001949701159322123,1.2680423118187698,"$1\,\sigma_E$"
0.24796839686640057,0.0002723469708703007,0.9568662843785808,"$1\,\sigma_E$"
0.24796839686640057,0.00038043200716984284,0.6534696576243967,"$1\,\sigma_E$"
0.24796839686640057,0.0005314122335078183,0.4512052397882738,"$1\,\sigma_E$"
0.24796839686640057,0.0007423112582524952,0.31117602744018885,"$1\,\sigma_E$"
0.24796839686640057,0.0010369087675891734,0.21782321920813225,"$1\,\sigma_E$"
0.24796839686640057,0.0014484217777249165,0.1555880137200946,"$1\,\sigma_E$"
0.24796839686640057,0.00202324998279792,0.10891160960406612,"$1\,\sigma_E$"
0.24796839686640057,0.0028262075010510026,0.0700146061740424,"$1\,\sigma_E$"
0.24796839686640057,0.003947830919020317,0.05445580480203306,"$1\,\sigma_E$"
0.24796839686640057,0.005514587644175787,0.03889700343002372,"$1\,\sigma_E$"
0.24796839686640057,0.007703135597520191,0.02333820205801423,"$1\,\sigma_E$"
0.24796839686640057,0.010760242082008202,0.007779400686004744,"$1\,\sigma_E$"
0.24796839686640057,0.015030607756754698,0.007779400686004744,"$1\,\sigma_E$"
0.24796839686640057,0.020995732978458297,0.007779400686004744,"$1\,\sigma_E$"
0.24796839686640057,0.02932820884136362,0.007779400686004744,"$1\,\sigma_E$"
0.24796839686640057,0.04096755444190252,0.007779400686004744,"$1\,\sigma_E$"
0.24796839686640057,0.057226151314879,0.007779400686004744,"$1\,\sigma_E$"
0.24796839686640057,0.07993721956133804,0.007779400686004744,"$1\,\sigma_E$"
0.24796839686640057,0.11166152055268735,0.007779400686004744,"$1\,\sigma_E$"
0.24796839686640057,0.1559760927457698,0.007779400686004744,"$1\,\sigma_E$"
