omega0,L_int,width,label
1130190940385312.0,6.609156472278377e-07,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,9.207658018815713e-07,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,1.2827804357041458e-06,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,1.787127240024239e-06,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,2.4897665127574977e-06,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,3.468660288544734e-06,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,4.8324226933238975e-06,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,6.7323713319729965e-06,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,9.379316882645474e-06,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,1.3066953803823737e-05,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,1.8204447493099756e-05,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,2.5361833638077836e-05,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,3.533326708922886e-05,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,4.922513809586688e-05,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,6.85788329292605e-05,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,9.554175991909122e-05,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,0.00013310561726608984,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,0.00018543833987138587,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,0.00025834655667094974,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,0.00035991987088553,0.6056057911727355,"$0.3\,\omega_0$"
1130190940385312.0,0.0005014284499377004,0.6056057911727355,"$0.3\,\omega_0$"
1130190940385312.0,0.0006985735180119866,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,0.000973229500895443,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,0.0013558711245005152,0.6094878795776892,"$0.3\,\omega_0$"
1130190940385312.0,0.0018889547681845238,0.6094878795776889,"$0.3\,\omega_0$"
1130190940385312.0,0.002631629254263754,0.5978416143628287,"$0.3\,\omega_0$"
1130190940385312.0,0.0036662987640264572,0.5823132607430151,"$0.3\,\omega_0$"
1130190940385312.0,0.005107766075074469,0.5706669955281546,"$0.3\,\omega_0$"
1130190940385312.0,0.007115970616925247,0.5629028187182478,"$0.3\,\omega_0$"
1130190940385312.0,0.009913734708417566,0.555138641908341,"$0.3\,\omega_0$"
1883651567308853.2,6.609156472278377e-07,0.9899325432631255,"$0.5\,\omega_0$"
1883651567308853.2,9.207658018815713e-07,0.9899325432631255,"$0.5\,\omega_0$"
1883651567308853.2,1.2827804357041458e-06,0.9899325432631255,"$0.5\,\omega_0$"
1883651567308853.2,1.787127240024239e-06,0.9899325432631255,"$0.5\,\omega_0$"
1883651567308853.2,2.4897665127574977e-06,0.9899325432631255,"$0.5\,\omega_0$"
1883651567308853.2,3.468660288544734e-06,0.9899325432631255,"$0.5\,\omega_0$"
1883651567308853.2,4.8324226933238975e-06,0.9899325432631255,"$0.5\,\omega_0$"
1883651567308853.2,6.7323713319729965e-06,0.9899325432631255,"$0.5\,\omega_0$"
1883651567308853.2,9.379316882645474e-06,0.9899325432631255,"$0.5\,\omega_0$"
1883651567308853.2,1.3066953803823737e-05,0.9899325432631255,"$0.5\,\omega_0$"
1883651567308853.2,1.8204447493099756e-05,0.9899325432631255,"$0.5\,\omega_0$"
1883651567308853.2,2.5361833638077836e-05,0.9899325432631255,"$0.5\,\omega_0$"
1883651567308853.2,3.533326708922886e-05,0.9938146316680789,"$0.5\,\omega_0$"
1883651567308853.2,4.922513809586688e-05,0.9938146316680789,"$0.5\,\omega_0$"
1883651567308853.2,6.85788329292605e-05,0.9976967200730323,"$0.5\,\omega_0$"
1883651567308853.2,9.554175991909122e-05,1.001578808477986,"$0.5\,\omega_0$"
1883651567308853.2,0.00013310561726608984,1.0171071620977996,"$0.5\,\omega_0$"
1883651567308853.2,0.00018543833987138587,1.0365176041225668,"$0.5\,\omega_0$"
1883651567308853.2,0.00025834655667094974,1.0792205765770544,"$0.5\,\omega_0$"
1883651567308853.2,0.00035991987088553,1.1335698142464026,"$0.5\,\omega_0$"
1883651567308853.2,0.0005014284499377004,1.180154875105844,"$0.5\,\omega_0$"
1883651567308853.2,0.0006985735180119866,1.207329493940518,"$0.5\,\omega_0$"
1883651567308853.2,0.000973229500895443,1.1413339910563094,"$0.5\,\omega_0$"
1883651567308853.2,0.0013558711245005152,0.4270297245448776,"$0.5\,\omega_0$"
1883651567308853.2,0.0018889547681845238,0.27174618834674025,"$0.5\,\omega_0$"
1883651567308853.2,0.002631629254263754,0.18634024343776476,"$0.5\,\omega_0$"
1883651567308853.2,0.0036662987640264572,0.1281089173634634,"$0.5\,\omega_0$"
1883651567308853.2,0.005107766075074469,0.0892880333139289,"$0.5\,\omega_0$"
1883651567308853.2,0.007115970616925247,0.062113414479255065,"$0.5\,\omega_0$"
1883651567308853.2,0.009913734708417566,0.04658506085944115,"$0.5\,\omega_0$"
2825477350963280.0,6.609156472278377e-07,1.630477130080442,"$0.75\,\omega_0$"
2825477350963280.0,9.207658018815713e-07,1.630477130080442,"$0.75\,\omega_0$"
2825477350963280.0,1.2827804357041458e-06,1.630477130080442,"$0.75\,\omega_0$"
2825477350963280.0,1.787127240024239e-06,1.630477130080442,"$0.75\,\omega_0$"
2825477350963280.0,2.4897665127574977e-06,1.630477130080442,"$0.75\,\omega_0$"
2825477350963280.0,3.468660288544734e-06,1.630477130080442,"$0.75\,\omega_0$"
2825477350963280.0,4.8324226933238975e-06,1.630477130080442,"$0.75\,\omega_0$"
2825477350963280.0,6.7323713319729965e-06,1.630477130080442,"$0.75\,\omega_0$"
2825477350963280.0,9.379316882645474e-06,1.630477130080442,"$0.75\,\omega_0$"
2825477350963280.0,1.3066953803823737e-05,1.630477130080442,"$0.75\,\omega_0$"
2825477350963280.0,1.8204447493099756e-05,1.6265950416754886,"$0.75\,\omega_0$"
2825477350963280.0,2.5361833638077836e-05,1.622712953270535,"$0.75\,\omega_0$"
2825477350963280.0,3.533326708922886e-05,1.6149487764606283,"$0.75\,\omega_0$"
2825477350963280.0,4.922513809586688e-05,1.5994204228408144,"$0.75\,\omega_0$"
2825477350963280.0,6.85788329292605e-05,1.5722458040061407,"$0.75\,\omega_0$"
2825477350963280.0,9.554175991909122e-05,1.5334249199566063,"$0.75\,\omega_0$"
2825477350963280.0,0.00013310561726608984,1.4868398590971652,"$0.75\,\omega_0$"
2825477350963280.0,0.00018543833987138587,1.4363727098327703,"$0.75\,\omega_0$"
2825477350963280.0,0.00025834655667094974,1.3509667649237949,"$0.75\,\omega_0$"
2825477350963280.0,0.00035991987088553,1.1180414606265887,"$0.75\,\omega_0$"
2825477350963280.0,0.0005014284499377004,0.7453609737510593,"$0.75\,\omega_0$"
2825477350963280.0,0.0006985735180119866,0.4813789622142257,"$0.75\,\omega_0$"
2825477350963280.0,0.000973229500895443,0.3299775144210419,"$0.75\,\omega_0$"
2825477350963280.0,0.0013558711245005152,0.2329253042972059,"$0.75\,\omega_0$"
2825477350963280.0,0.0018889547681845238,0.16304771300804416,"$0.75\,\omega_0$"
2825477350963280.0,0.002631629254263754,0.11646265214860302,"$0.75\,\omega_0$"
2825477350963280.0,0.0036662987640264572,0.08152385650402208,"$0.75\,\omega_0$"
2825477350963280.0,0.005107766075074469,0.05823132607430151,"$0.75\,\omega_0$"
2825477350963280.0,0.007115970616925247,0.042702972454487745,"$0.75\,\omega_0$"
2825477350963280.0,0.009913734708417566,0.02717461883467413,"$0.75\,\omega_0$"
3767303134617706.5,6.609156472278377e-07,1.781878577873626,$\omega_0$
3767303134617706.5,9.207658018815713e-07,1.781878577873626,$\omega_0$
