loss,label,L_int,width
0,0 dB/cm,0.00019497011619761206,0.4753434241835641
0,0 dB/cm,0.0002723469712410284,0.45959555335179475
0,0 dB/cm,0.0003804320076876995,0.4293111863676227
0,0 dB/cm,0.0005314122342311942,0.3755261506037331
0,0 dB/cm,0.0007423112592629537,0.299451820739493
0,0 dB/cm,0.001036908769000648,0.22095474151651912
0,0 dB/cm,0.001448421779696556,0.15869008299706142
0,0 dB/cm,0.0020232499855520345,0.11362694492461346
0,0 dB/cm,0.0028262075048981297,0.08116210351758106
0,0 dB/cm,0.003947830924394235,0.0581459846096103
0,0 dB/cm,0.0055145876516824255,0.04142901403434732
0,0 dB/cm,0.007703135608005954,0.02955754217655192
0,0 dB/cm,0.010760242096655399,0.02107791942098375
0,0 dB/cm,0.015030607777214858,0.015021046024149328
0,0 dB/cm,0.020995733007038383,0.010902372114301926
0,0 dB/cm,0.029328208881286146,0.007510523012074664
0,0 dB/cm,0.04096755449766891,0.005572323525087647
0,0 dB/cm,0.057226151392777126,0.003634124038100667
0,0 dB/cm,0.07993721967015122,0.0026650242946071206
0,0 dB/cm,0.1116615207046847,0.0016959245511136496
0,0 dB/cm,0.1559760929580897,0.0012113746793668764
10,10 dB/cm,0.00019497011619761206,0.4753434241835641
10,10 dB/cm,0.0002723469712410284,0.45959555335179475
10,10 dB/cm,0.0003804320076876995,0.4293111863676227
10,10 dB/cm,0.0005314122342311942,0.3755261506037331
10,10 dB/cm,0.0007423112592629537,0.299451820739493
10,10 dB/cm,0.001036908769000648,0.2211970164523925
10,10 dB/cm,0.001448421779696556,0.15893235793293478
10,10 dB/cm,0.0020232499855520345,0.11411149479636021
10,10 dB/cm,0.0028262075048981297,0.08188892832520116
10,10 dB/cm,0.003947830924394235,0.058872809417230436
10,10 dB/cm,0.0055145876516824255,0.042640388713714235
10,10 dB/cm,0.007703135608005954,0.03125346672766553
10,10 dB/cm,0.010760242096655399,0.023258393843844132
10,10 dB/cm,0.015030607777214858,0.017201520447009712
10,10 dB/cm,0.020995733007038383,0.013082846537162312
10,10 dB/cm,0.029328208881286146,0.009933272370808417
10,10 dB/cm,0.04096755449766891,0.007995072883821437
10,10 dB/cm,0.057226151392777126,0.006783698204454523
10,10 dB/cm,0.07993721967015122,0.0060568733968344194
10,10 dB/cm,0.1116615207046847,0.005572323525087647
10,10 dB/cm,0.1559760929580897,0.005087773653340874
30,30 dB/cm,0.00019497011619761206,0.4753434241835641
30,30 dB/cm,0.0002723469712410284,0.45959555335179475
30,30 dB/cm,0.0003804320076876995,0.4293111863676227
30,30 dB/cm,0.0005314122342311942,0.37601070047547985
30,30 dB/cm,0.0007423112592629537,0.30066319541885983
30,30 dB/cm,0.001036908769000648,0.2228929410035061
30,30 dB/cm,0.001448421779696556,0.16159738222754194
30,30 dB/cm,0.0020232499855520345,0.11726106896271406
30,30 dB/cm,0.0028262075048981297,0.08624987717092193
30,30 dB/cm,0.003947830924394235,0.06420285800644468
30,30 dB/cm,0.0055145876516824255,0.048454987174675244
30,30 dB/cm,0.007703135608005954,0.03706806518862655
30,30 dB/cm,0.010760242096655399,0.02883071736893174
30,30 dB/cm,0.015030607777214858,0.023258393843844132
30,30 dB/cm,0.020995733007038383,0.019866544741616834
30,30 dB/cm,0.029328208881286146,0.017928345254629816
30,30 dB/cm,0.04096755449766891,0.016474695639389608
30,30 dB/cm,0.057226151392777126,0.01574787083176943
30,30 dB/cm,0.07993721967015122,0.015263320960022695
30,30 dB/cm,0.1116615207046847,0.01477877108827596
30,30 dB/cm,0.1559760929580897,0.014536496152402592
100,100 dB/cm,0.00019497011619761206,0.4753434241835641
100,100 dB/cm,0.0002723469712410284,0.4600801032235415
100,100 dB/cm,0.0003804320076876995,0.4307648359828629
100,100 dB/cm,0.0005314122342311942,0.380613924257074
100,100 dB/cm,0.0007423112592629537,0.31108101766141505
100,100 dB/cm,0.001036908769000648,0.2393676366428957
100,100 dB/cm,0.001448421779696556,0.18122165203328536
100,100 dB/cm,0.0020232499855520345,0.1376121635760777
100,100 dB/cm,0.0028262075048981297,0.10635869684841218
100,100 dB/cm,0.003947830924394235,0.08528077742742843
100,100 dB/cm,0.0055145876516824255,0.07098655621089923
100,100 dB/cm,0.007703135608005954,0.06226465851945766
100,100 dB/cm,0.010760242096655399,0.05717688486611679
100,100 dB/cm,0.015030607777214858,0.05378503576388949
100,100 dB/cm,0.020995733007038383,0.05184683627690251
100,100 dB/cm,0.029328208881286146,0.050393186661662266
100,100 dB/cm,0.04096755449766891,0.04966636185404212
100,100 dB/cm,0.057226151392777126,0.04869726211054862
100,100 dB/cm,0.07993721967015122,0.04821271223880188
100,100 dB/cm,0.1116615207046847,0.04821271223880188
100,100 dB/cm,0.1559760929580897,0.047728162367055106
