L_int_m,v_0_m_per_s,width
L_int_m,v_0_m_per_s,width
2.0000000000000002e-07,29679453.342,4.954522438610544
2.0000000000000002e-07,29709432.5878,4.956945187969278
2.0000000000000002e-07,29739411.8336,4.959367937328011
2.0000000000000002e-07,29769391.0794,4.959367937328011
2.0000000000000002e-07,29799370.3252,4.959367937328011
2.0000000000000002e-07,29829349.571000002,4.959367937328011
2.0000000000000002e-07,29859328.816800002,4.959367937328011
2.0000000000000002e-07,29889308.0626,4.959367937328011
2.0000000000000002e-07,29919287.3084,4.959367937328011
2.0000000000000002e-07,29949266.5542,4.959367937328011
2.0000000000000002e-07,29955928.608822223,4.959367937328011
2.0000000000000002e-07,29962590.663444445,4.959367937328011
2.0000000000000002e-07,29969252.718066666,4.959367937328011
2.0000000000000002e-07,29975914.772688888,4.959367937328011
2.0000000000000002e-07,29979245.8,4.959367937328011
2.0000000000000002e-07,29982576.827311106,4.959367937328011
2.0000000000000002e-07,29989238.88193333,4.959367937328011
2.0000000000000002e-07,29995900.936555553,4.959367937328011
2.0000000000000002e-07,30002562.99117778,4.959367937328011
2.0000000000000002e-07,30009225.045799997,4.959367937328011
2.0000000000000002e-07,30039204.2916,4.959367937328011
2.0000000000000002e-07,30069183.537400004,4.959367937328011
2.0000000000000002e-07,30099162.7832,4.959367937328011
2.0000000000000002e-07,30129142.029,4.959367937328011
2.0000000000000002e-07,30159121.274800003,4.959367937328011
2.0000000000000002e-07,30189100.520600006,4.959367937328011
2.0000000000000002e-07,30219079.766400002,4.959367937328011
2.0000000000000002e-07,30249059.012199998,4.959367937328011
2.0000000000000002e-07,30279038.258,4.956945187969278
0.00101018,29679453.342,0.5572323525087655
0.00101018,29709432.5878,0.5523868537912978
0.00101018,29739411.8336,0.5523868537912978
0.00101018,29769391.0794,0.5475413550738301
0.00101018,29799370.3252,0.5426958563563631
0.00101018,29829349.571000002,0.5330048589214275
0.00101018,29859328.816800002,0.5233138614864924
0.00101018,29889308.0626,0.5063546159753561
0.00101018,29919287.3084,0.47728162367055105
0.00101018,29949266.5542,0.407021892267272
0.00101018,29955928.608822223,0.37794889996246694
0.00101018,29962590.663444445,0.3367621608639929
0.00101018,29969252.718066666,0.2737706775369152
0.00101018,29975914.772688888,0.2059336954923698
0.00101018,29979245.8,0.22531569036224014
0.00101018,29982576.827311106,0.3391849102227269
0.00101018,29989238.88193333,1.6280875690690886
0.00101018,29995900.936555553,1.741956788929575
0.00101018,30002562.99117778,2.291920893362139
0.00101018,30009225.045799997,2.887917235610645
0.00101018,30039204.2916,0.7801252935122716
0.00101018,30069183.537400004,0.7001745646740573
0.00101018,30099162.7832,0.6662560736517842
0.00101018,30129142.029,0.6468740787819148
0.00101018,30159121.274800003,0.6371830813469792
0.00101018,30189100.520600006,0.6274920839120445
0.00101018,30219079.766400002,0.6202238358358428
0.00101018,30249059.012199998,0.6153783371183758
0.00101018,30279038.258,0.6105328384009081
0.00202016,29679453.342,0.5572323525087655
0.00202016,29709432.5878,0.5523868537912978
0.00202016,29739411.8336,0.5475413550738301
0.00202016,29769391.0794,0.5451186057150964
0.00202016,29799370.3252,0.5378503576388951
0.00202016,29829349.571000002,0.5330048589214275
0.00202016,29859328.816800002,0.5208911121277587
0.00202016,29889308.0626,0.501509117257889
0.00202016,29919287.3084,0.4724361249530837
0.00202016,29949266.5542,0.3997536441910707
0.00202016,29955928.608822223,0.36825790252753193
0.00202016,29962590.663444445,0.3222256647115906
0.00202016,29969252.718066666,0.2519659333083115
0.00202016,29975914.772688888,0.13809671344782445
0.00202016,29979245.8,0.11144647050175278
0.00202016,29982576.827311106,0.22289294100350618
0.00202016,29989238.88193333,1.5578278376658092
0.00202016,29995900.936555553,1.6886563030374324
0.00202016,30002562.99117778,2.243465906187464
0.00202016,30009225.045799997,2.868535240740774
0.00202016,30039204.2916,0.7728570454360703
0.00202016,30069183.537400004,0.6953290659565898
0.00202016,30099162.7832,0.6638333242930505
0.00202016,30129142.029,0.6444513294231808
0.00202016,30159121.274800003,0.6323375826295121
0.00202016,30189100.520600006,0.6250693345533108
0.00202016,30219079.766400002,0.6202238358358428
0.00202016,30249059.012199998,0.6153783371183758
0.00202016,30279038.258,0.6105328384009081
0.00303014,29679453.342,0.5548096031500315
0.00303014,29709432.5878,0.5523868537912978
0.00303014,29739411.8336,0.5475413550738301
0.00303014,29769391.0794,0.5426958563563631
0.00303014,29799370.3252,0.5378503576388951
0.00303014,29829349.571000002,0.5305821095626938
0.00303014,29859328.816800002,0.5208911121277587
0.00303014,29889308.0626,0.501509117257889
0.00303014,29919287.3084,0.4724361249530837
0.00303014,29949266.5542,0.39733089483233697
0.00303014,29955928.608822223,0.36583515316879794
0.00303014,29962590.663444445,0.3173801659941229
0.00303014,29969252.718066666,0.24712043459084354
0.00303014,29975914.772688888,0.12356021729542177
0.00303014,29979245.8,0.07268248076201274
0.00303014,29982576.827311106,0.20108819677490247
0.00303014,29989238.88193333,1.5360230934372052
0.00303014,29995900.936555553,1.6765425562437637
0.00303014,30002562.99117778,2.228929410035061
0.00303014,30009225.045799997,2.8636897420233067
0.00303014,30039204.2916,0.7704342960773363
0.00303014,30069183.537400004,0.6953290659565898
0.00303014,30099162.7832,0.6614105749343172
0.00303014,30129142.029,0.6444513294231808
0.00303014,30159121.274800003,0.6323375826295121
0.00303014,30189100.520600006,0.6250693345533108
0.00303014,30219079.766400002,0.6178010864771095
0.00303014,30249059.012199998,0.6153783371183758
0.00303014,30279038.258,0.6105328384009081
0.00404012,29679453.342,0.5548096031500315
0.00404012,29709432.5878,0.5523868537912978
0.00404012,29739411.8336,0.5475413550738301
0.00404012,29769391.0794,0.5426958563563631
0.00404012,29799370.3252,0.5378503576388951
0.00404012,29829349.571000002,0.5305821095626938
0.00404012,29859328.816800002,0.5208911121277587
0.00404012,29889308.0626,0.501509117257889
0.00404012,29919287.3084,0.47001337559435
0.00404012,29949266.5542,0.3949081454736033
0.00404012,29955928.608822223,0.3634124038100643
0.00404012,29962590.663444445,0.3173801659941229
0.00404012,29969252.718066666,0.2422749358733762
0.00404012,29975914.772688888,0.11871471857795442
0.00404012,29979245.8,0.05572323525087639
0.00404012,29982576.827311106,0.19139719933996716
