L_int_m,width
0.1,0.6324853228962818
1.095,0.11585127201565561
2.09,0.05949119373776906
3.0849999999999995,0.039138943248532225
4.079999999999999,0.02818003913894331
5.074999999999999,0.023483365949119425
6.0699999999999985,0.01878669275929554
7.064999999999999,0.017221135029354243
8.059999999999999,0.014090019569471654
9.054999999999998,0.01252446183953036
10.049999999999999,0.010958904109589065
11.044999999999998,0.010958904109589065
12.039999999999997,0.007827788649706475
13.034999999999998,0.007827788649706475
14.029999999999998,0.007827788649706475
15.024999999999999,0.007827788649706475
16.02,0.007827788649706475
17.015,0.004696673189823885
18.009999999999998,0.004696673189823885
19.005,0.004696673189823885
20.0,0.004696673189823885
