L_int_m,v_0_m_per_s,width
0.1,146392819.0515279,"[1.01037844e+18 1.02188545e+18 1.03344222e+18 ... 6.50055226e+18
 6.45533645e+18 6.41003952e+18]"
0.12589254117941673,146392819.0515279,"[7.74877470e+17 7.84502201e+17 7.94182455e+17 ... 6.48555415e+18
 6.44001087e+18 6.39440207e+18]"
0.15848931924611134,146392819.0515279,"[5.94736630e+17 6.02321831e+17 6.09960438e+17 ... 6.44057610e+18
 6.39478313e+18 6.34894532e+18]"
0.19952623149688797,146392819.0515279,"[5.01608873e+17 5.07637387e+17 5.13707795e+17 ... 6.35029845e+18
 6.30445235e+18 6.25858693e+18]"
0.251188643150958,146392819.0515279,"[4.61010774e+17 4.66420731e+17 4.71862198e+17 ... 6.21536125e+18
 6.16973152e+18 6.12411012e+18]"
0.31622776601683794,146392819.0515279,"[4.21755612e+17 4.26877572e+17 4.32031118e+17 ... 6.05884939e+18
 6.01365739e+18 5.96849922e+18]"
0.3981071705534973,146392819.0515279,"[3.91229718e+17 3.95951129e+17 4.00702849e+17 ... 5.91313617e+18
 5.86847482e+18 5.82386680e+18]"
0.5011872336272724,146392819.0515279,"[3.70748068e+17 3.75244451e+17 3.79769422e+17 ... 5.79805712e+18
 5.75389124e+18 5.70979150e+18]"
0.6309573444801934,146392819.0515279,"[3.54796110e+17 3.59102662e+17 3.63436791e+17 ... 5.71361959e+18
 5.66984551e+18 5.62614602e+18]"
0.7943282347242815,146392819.0515279,"[3.42552775e+17 3.46718114e+17 3.50910329e+17 ... 5.65028767e+18
 5.60680709e+18 5.56340745e+18]"
1.0,146392819.0515279,"[3.33095852e+17 3.37151516e+17 3.41233453e+17 ... 5.60131343e+18
 5.55805779e+18 5.51488805e+18]"
1.2589254117941675,146392819.0515279,"[3.25735501e+17 3.29706010e+17 3.33702325e+17 ... 5.56318031e+18
 5.52009962e+18 5.47710870e+18]"
1.584893192461114,146392819.0515279,"[3.19982181e+17 3.23885973e+17 3.27815209e+17 ... 5.53337301e+18
 5.49042914e+18 5.44757806e+18]"
1.9952623149688797,146392819.0515279,"[3.15470587e+17 3.19322056e+17 3.23198679e+17 ... 5.50999490e+18
 5.46715829e+18 5.42441684e+18]"
2.511886431509581,146392819.0515279,"[3.11922269e+17 3.15732654e+17 3.19567968e+17 ... 5.49161213e+18
 5.44885989e+18 5.40620468e+18]"
3.1622776601683795,146392819.0515279,"[3.09126156e+17 3.12904124e+17 3.16706848e+17 ... 5.47712578e+18
 5.43444003e+18 5.39185277e+18]"
3.981071705534973,146392819.0515279,"[3.06919146e+17 3.10671539e+17 3.14448546e+17 ... 5.46569109e+18
 5.42305782e+18 5.38052420e+18]"
5.011872336272725,146392819.0515279,"[3.05174754e+17 3.08906928e+17 3.12663603e+17 ... 5.45665349e+18
 5.41406170e+18 5.37157047e+18]"
6.309573444801933,146392819.0515279,"[3.03794568e+17 3.07510739e+17 3.11251330e+17 ... 5.44950287e+18
 5.40694390e+18 5.36448621e+18]"
7.943282347242818,146392819.0515279,"[3.02701733e+17 3.06405246e+17 3.10133099e+17 ... 5.44384075e+18
 5.40130780e+18 5.35887672e+18]"
10.0,146392819.0515279,"[3.03430317e+17 3.06080236e+17 3.08536256e+17 ... 5.50279075e+18
 5.46104244e+18 5.41817135e+18]"
