L_int_m,v_0_m_per_s,width
0.1,150613890.7485578,0.4911937377690803
0.1,150613940.9536901,0.5048923679060666
0.1,150613991.15882242,0.5185909980430529
0.1,150614041.36395472,0.5342465753424659
0.1,150614091.569087,0.5518590998043053
0.1,150614141.7742193,0.569471624266145
0.1,150614191.9793516,0.5851272015655578
0.1,150614242.18448392,0.6046966731898239
0.1,150614292.38961622,0.6203522504892368
0.1,150614342.5947485,0.6360078277886496
0.1,150614392.79988083,0.6516634050880626
0.1,150614443.0050131,0.665362035225049
0.1,150614493.2101454,0.6790606653620352
0.1,150614543.41527772,0.690802348336595
0.1,150614593.62041003,0.7005870841487282
0.1,150614643.82554233,0.7103718199608612
0.1,150614694.0306746,0.716242661448141
0.1,150614744.2358069,0.7181996086105676
0.1,150614794.44093922,0.7162426614481411
0.1,150614844.64607152,0.7123287671232877
0.1,150614894.85120383,0.7103718199608612
0.1,150614945.05633613,0.706457925636008
0.1,150614995.26146844,0.7025440313111547
0.1,150615045.46660072,0.6986301369863015
0.1,150615095.67173302,0.6927592954990217
0.1,150615145.87686533,0.6888454011741685
0.1,150615196.08199763,0.6829745596868887
0.1,150615246.28712994,0.6790606653620352
0.1,150615296.4922622,0.6751467710371821
0.1,150615346.69739452,0.6692759295499022
0.1,150615396.90252683,0.665362035225049
0.1,150615447.10765913,0.6614481409001958
0.1,150615497.31279144,0.6594911937377692
0.1,150615547.51792374,0.6575342465753427
0.1,150615597.72305602,0.655577299412916
0.1,150615647.92818832,0.655577299412916
0.1,150615698.13332063,0.6575342465753427
0.1,150615748.33845294,0.6594911937377692
0.1,150615798.54358524,0.665362035225049
0.1,150615848.74871752,0.6712328767123289
0.1,150615898.95384985,0.6790606653620352
0.1,150615949.15898216,0.6888454011741685
0.1,150615999.36411446,0.7005870841487282
0.1,150616049.56924677,0.7123287671232877
0.1,150616099.77437904,0.7279843444227007
0.1,150616149.97951135,0.7436399217221136
0.1,150616200.18464366,0.7612524461839532
0.1,150616250.38977596,0.7788649706457926
0.1,150616300.59490824,0.7945205479452055
0.1,150616350.80004054,0.8101761252446185
0.1,150616401.00517285,0.8238747553816049
0.1,150616451.21030515,0.8356164383561645
0.1,150616501.41543746,0.8454011741682975
0.1,150616551.62056974,0.8551859099804306
0.1,150616601.82570204,0.8610567514677104
0.1,150616652.03083435,0.8669275929549903
0.1,150616702.23596665,0.8708414872798436
0.1,150616752.44109896,0.8688845401174169
0.1,150616802.64623123,0.8649706457925637
0.1,150616852.85136354,0.8590998043052839
0.1,150616903.05649588,0.8493150684931507
0.10797751623277096,150613890.7485578,0.4579256360078279
0.10797751623277096,150613940.9536901,0.4696673189823875
0.10797751623277096,150613991.15882242,0.48336594911937386
0.10797751623277096,150614041.36395472,0.4990215264187868
0.10797751623277096,150614091.569087,0.5146771037181996
0.10797751623277096,150614141.7742193,0.5303326810176126
0.10797751623277096,150614191.9793516,0.5479452054794521
0.10797751623277096,150614242.18448392,0.5675146771037183
0.10797751623277096,150614292.38961622,0.5851272015655579
0.10797751623277096,150614342.5947485,0.6046966731898239
0.10797751623277096,150614392.79988083,0.6203522504892368
0.10797751623277096,150614443.0050131,0.6379647749510764
0.10797751623277096,150614493.2101454,0.6536203522504893
0.10797751623277096,150614543.41527772,0.6673189823874756
0.10797751623277096,150614593.62041003,0.6810176125244618
0.10797751623277096,150614643.82554233,0.6927592954990217
0.10797751623277096,150614694.0306746,0.7045009784735813
0.10797751623277096,150614744.2358069,0.7123287671232877
0.10797751623277096,150614794.44093922,0.7142857142857144
0.10797751623277096,150614844.64607152,0.7123287671232877
0.10797751623277096,150614894.85120383,0.7103718199608612
0.10797751623277096,150614945.05633613,0.706457925636008
