L_int_m,v_0_m_per_s,width
4.9999999999999996e-05,29949266.554200057,1.604501391488474
4.9999999999999996e-05,29950765.516490057,1.6531226457760035
4.9999999999999996e-05,29952264.478780057,1.692019649206027
4.9999999999999996e-05,29953763.441070057,1.7309166526360507
4.9999999999999996e-05,29955262.403360058,1.7698136560660749
4.9999999999999996e-05,29956761.365650054,1.7989864086385923
4.9999999999999996e-05,29958260.327940054,1.82815916121111
4.9999999999999996e-05,29959759.290230054,1.857331913783628
4.9999999999999996e-05,29961258.252520055,1.8865046663561456
4.9999999999999996e-05,29962757.214810055,1.9059531680711574
4.9999999999999996e-05,29964256.177100055,1.9156774189286632
4.9999999999999996e-05,29965755.139390055,1.9254016697861691
4.9999999999999996e-05,29967254.101680055,1.9254016697861691
4.9999999999999996e-05,29968753.063970055,1.9254016697861691
4.9999999999999996e-05,29970252.026260056,1.9351259206436746
4.9999999999999996e-05,29971750.988550056,1.9351259206436746
4.9999999999999996e-05,29973249.950840052,1.9351259206436746
4.9999999999999996e-05,29974748.913130052,1.944850171501181
4.9999999999999996e-05,29976247.875420053,1.944850171501181
4.9999999999999996e-05,29977746.837710053,1.9545744223586867
4.9999999999999996e-05,29979245.800000057,1.9545744223586867
4.9999999999999996e-05,29980744.762290053,1.9642986732161927
4.9999999999999996e-05,29982243.724580057,1.9740229240736986
4.9999999999999996e-05,29983742.686870053,1.9837471749312046
4.9999999999999996e-05,29985241.649160057,1.9934714257887103
4.9999999999999996e-05,29986740.611450054,2.0031956766462162
4.9999999999999996e-05,29988239.573740054,2.022644178361228
4.9999999999999996e-05,29989738.53603005,2.04209268007624
4.9999999999999996e-05,29991237.498320054,2.051816930933746
4.9999999999999996e-05,29992736.46061005,2.0712654326487576
4.9999999999999996e-05,29994235.422900055,2.0907139343637695
4.9999999999999996e-05,29995734.38519005,2.1101624360787814
4.9999999999999996e-05,29997233.347480055,2.119886686936287
4.9999999999999996e-05,29998732.30977005,2.1393351886512986
4.9999999999999996e-05,30000231.272060055,2.1587836903663105
4.9999999999999996e-05,30001730.23435005,2.1685079412238166
4.9999999999999996e-05,30003229.196640056,2.1782321920813223
4.9999999999999996e-05,30004728.158930052,2.1976806937963342
4.9999999999999996e-05,30006227.121220052,2.2074049446538404
4.9999999999999996e-05,30007726.08351005,2.217129195511346
4.9999999999999996e-05,30009225.045800053,2.217129195511346
6.107986038770823e-05,29949266.554200057,1.3419466183358146
