v0,L_int,width,label
135553857.21227413,0.4679259562709465,0.21448140900195692,"$0.900\,v_g$"
135553857.21227413,0.5282125499414373,0.18630136986301374,"$0.900\,v_g$"
135553857.21227413,0.5962663412372855,0.1628180039138943,"$0.900\,v_g$"
135553857.21227413,0.6730880395248408,0.14246575342465753,"$0.900\,v_g$"
135553857.21227413,0.7598072834554019,0.1252446183953033,"$0.900\,v_g$"
135553857.21227413,0.8576992519424668,0.10958904109589042,"$0.900\,v_g$"
135553857.21227413,0.9682034152622692,0.09706457925636014,"$0.900\,v_g$"
135553857.21227413,1.0929447020065755,0.08454011741682978,"$0.900\,v_g$"
135553857.21227413,1.2337573931410533,0.07358121330724071,"$0.900\,v_g$"
135553857.21227413,1.3927120945237448,0.06575342465753424,"$0.900\,v_g$"
135553857.21227413,1.5721461845059512,0.05792563600782776,"$0.900\,v_g$"
135553857.21227413,1.7746981843378264,0.05166340508806259,"$0.900\,v_g$"
135553857.21227413,2.0033465567845576,0.045401174168297406,"$0.900\,v_g$"
135553857.21227413,2.2614535034744607,0.04070450097847352,"$0.900\,v_g$"
135553857.21227413,2.5528144050050643,0.034442270058708487,"$0.900\,v_g$"
135553857.21227413,2.8817136308082207,0.0313111545988259,"$0.900\,v_g$"
135553857.21227413,3.252987539440582,0.026614481409002015,"$0.900\,v_g$"
135553857.21227413,3.6720955956986705,0.023483365949119425,"$0.900\,v_g$"
135553857.21227413,4.14520065031312,0.020352250489236834,"$0.900\,v_g$"
135553857.21227413,4.679259562709465,0.01878669275929554,"$0.900\,v_g$"
143084627.0574005,0.4679259562709465,0.28023483365949126,"$0.950\,v_g$"
143084627.0574005,0.5282125499414373,0.23953033268101764,"$0.950\,v_g$"
143084627.0574005,0.5962663412372855,0.20508806262230928,"$0.950\,v_g$"
143084627.0574005,0.6730880395248408,0.17847358121330725,"$0.950\,v_g$"
143084627.0574005,0.7598072834554019,0.1565557729941292,"$0.950\,v_g$"
143084627.0574005,0.8576992519424668,0.13620352250489237,"$0.950\,v_g$"
143084627.0574005,0.9682034152622692,0.12054794520547948,"$0.950\,v_g$"
143084627.0574005,1.0929447020065755,0.10489236790606654,"$0.950\,v_g$"
143084627.0574005,1.2337573931410533,0.09236790606653625,"$0.950\,v_g$"
143084627.0574005,1.3927120945237448,0.08140900195694718,"$0.950\,v_g$"
143084627.0574005,1.5721461845059512,0.07201565557729941,"$0.950\,v_g$"
143084627.0574005,1.7746981843378264,0.06262230919765165,"$0.950\,v_g$"
143084627.0574005,2.0033465567845576,0.054794520547945175,"$0.950\,v_g$"
143084627.0574005,2.2614535034744607,0.04853228962817999,"$0.950\,v_g$"
