sigmaE,L_int,width,label
0.010000000000000002,0.0004679259560155685,0.07933561309233025,"$0.1\,\sigma_E$"
0.010000000000000002,0.0013501534654304073,0.07933561309233025,"$0.1\,\sigma_E$"
0.010000000000000002,0.003895732555073494,0.07933561309233025,"$0.1\,\sigma_E$"
0.010000000000000002,0.011240745981288398,0.07933561309233025,"$0.1\,\sigma_E$"
0.010000000000000002,0.03243404633906332,0.07933561309233025,"$0.1\,\sigma_E$"
0.010000000000000002,0.09358519120311372,0.07929653150952616,"$0.1\,\sigma_E$"
0.010000000000000002,0.2700306930860815,0.07914020517830973,"$0.1\,\sigma_E$"
0.010000000000000002,0.7791465110146989,0.07659990229604301,"$0.1\,\sigma_E$"
0.010000000000000002,2.2481491962576796,0.05600390815828042,"$0.1\,\sigma_E$"
0.010000000000000002,6.486809267812665,0.021143136297020037,"$0.1\,\sigma_E$"
0.010000000000000002,18.717038240622745,0.00730825598436737,"$0.1\,\sigma_E$"
0.025,0.0004679259560155685,0.19540791402051785,"$0.25\,\sigma_E$"
0.025,0.0013501534654304073,0.19540791402051785,"$0.25\,\sigma_E$"
0.025,0.003895732555073494,0.19540791402051785,"$0.25\,\sigma_E$"
0.025,0.011240745981288398,0.19540791402051785,"$0.25\,\sigma_E$"
0.025,0.03243404633906332,0.1953102100635076,"$0.25\,\sigma_E$"
0.025,0.09358519120311372,0.1950170981924768,"$0.25\,\sigma_E$"
0.025,0.2700306930860815,0.19179286761113823,"$0.25\,\sigma_E$"
0.025,0.7791465110146989,0.15271128480703472,"$0.25\,\sigma_E$"
0.025,2.2481491962576796,0.061455788959452855,"$0.25\,\sigma_E$"
0.025,6.486809267812665,0.02110405471421593,"$0.25\,\sigma_E$"
0.025,18.717038240622745,0.007230092818759174,"$0.25\,\sigma_E$"
0.05,0.0004679259560155685,0.3788959452857842,"$0.5\,\sigma_E$"
0.05,0.0013501534654304073,0.3788959452857842,"$0.5\,\sigma_E$"
0.05,0.003895732555073494,0.3788959452857842,"$0.5\,\sigma_E$"
0.05,0.011240745981288398,0.3787005373717636,"$0.5\,\sigma_E$"
0.05,0.03243404633906332,0.3783097215437226,"$0.5\,\sigma_E$"
0.05,0.09358519120311372,0.3749877870053737,"$0.5\,\sigma_E$"
0.05,0.2700306930860815,0.3450903761602345,"$0.5\,\sigma_E$"
0.05,0.7791465110146989,0.18387884709330726,"$0.5\,\sigma_E$"
0.05,2.2481491962576796,0.061748900830483656,"$0.5\,\sigma_E$"
0.05,6.486809267812665,0.02110405471421591,"$0.5\,\sigma_E$"
0.05,18.717038240622745,0.007230092818759174,"$0.5\,\sigma_E$"
0.15000000000000002,0.0004679259560155685,0.6759159745969713,"$1.5\,\sigma_E$"
0.15000000000000002,0.0013501534654304073,0.6759159745969713,"$1.5\,\sigma_E$"
0.15000000000000002,0.003895732555073494,0.6759159745969713,"$1.5\,\sigma_E$"
0.15000000000000002,0.011240745981288398,0.6765021983390329,"$1.5\,\sigma_E$"
0.15000000000000002,0.03243404633906332,0.6800195407914021,"$1.5\,\sigma_E$"
0.15000000000000002,0.09358519120311372,0.705227161700049,"$1.5\,\sigma_E$"
0.15000000000000002,0.2700306930860815,0.7515388373229117,"$1.5\,\sigma_E$"
0.15000000000000002,0.7791465110146989,0.20048851978505142,"$1.5\,\sigma_E$"
0.15000000000000002,2.2481491962576796,0.06389838788470942,"$1.5\,\sigma_E$"
0.15000000000000002,6.486809267812665,0.021104054714215947,"$1.5\,\sigma_E$"
0.15000000000000002,18.717038240622745,0.007620908646800174,"$1.5\,\sigma_E$"
