sigmaE,width
0.001,0.00746067415730337
0.005975,0.013730532486565708
0.010950000000000001,0.013736980947728383
0.015925,0.01369223253541768
0.020900000000000002,0.0
0.025875000000000002,0.0
0.030850000000000002,0.0
0.035825,0.0
0.0408,0.0
0.045775,0.0
0.05075,0.0
0.055725000000000004,0.0
0.060700000000000004,0.0
0.06567500000000001,0.0
0.07065,0.0
0.075625,0.0
0.0806,0.0
0.08557500000000001,0.0
0.09055,0.0
0.095525,0.0
0.1005,0.0
0.10547500000000001,0.0
0.11045,0.0
0.115425,0.0
0.12040000000000001,0.0
0.12537500000000001,0.0
0.13035000000000002,0.0
0.135325,0.0
0.1403,0.0
0.14527500000000002,0.0
0.15025,0.0
0.155225,0.0
0.1602,0.0
0.16517500000000002,0.0
0.17015000000000002,0.0
0.175125,0.0
0.1801,0.0
0.18507500000000002,0.0
0.19005,0.0
0.195025,0.0
