v0,width
150600335.2806442,0.22628236443575966
150601339.3832897,0.22550073277967755
150602343.48593515,0.22471910112359553
150603347.5885806,0.22393746946751344
150604351.69122607,0.22315583781143142
150605355.79387155,0.22159257449926725
150606359.89651704,0.22042012701514416
150607363.9991625,0.21885686370298
150608368.10180795,0.21690278456277481
150609372.2044534,0.2137762579384465
150610376.3070989,0.2102589154860772
150611380.40974438,0.20478749389350268
150612384.51238984,0.1961895456765999
150613388.6150353,0.1813385442110406
150613890.66635805,0.16844162188568643
150614105.83121064,0.16062530532486563
150614320.99606326,0.1516365412799219
150614392.71768075,0.1477283829995115
150614536.16091585,0.13913043478260867
150614751.32576844,0.12232535417684416
150614966.49062106,0.09926722032242306
150615181.65547365,0.06370297997068884
150615396.82032624,0.013678553981436274
150615611.98517886,0.18212017586712262
150615827.15003145,0.5389350268685883
150616042.31488404,0.6331216414264779
150616257.47973666,0.6538348803126528
150616400.92297173,0.6417195896433806
150616472.64458925,0.6296042989741085
150616687.80944186,0.46780654616511974
150616902.97429445,0.40097703957010256
150617405.02561718,0.3384465070835369
150618409.12826264,0.2950659501709819
150619413.2309081,0.2774792379091353
150620417.33355358,0.2677088422081095
150621421.43619907,0.2618466047874939
150622425.53884453,0.25754763067904257
150623429.64148998,0.25442110405471424
150624433.74413544,0.252076209086468
150625437.84678093,0.25051294577430383
150626441.9494264,0.24894968246213978
150627446.05207187,0.2473864191499756
150628450.15471733,0.2466047874938935
150629454.25736278,0.24582315583781147
150630458.36000827,0.24504152418172936
