L_int_m,v_0_m_per_s,width
0.1,150613890.7485578,0.4392156862745099
0.1,150613940.9536901,0.4517647058823529
0.1,150613991.15882242,0.4580392156862745
0.1,150614041.36395472,0.47058823529411764
0.1,150614091.569087,0.48000000000000004
0.1,150614141.7742193,0.4925490196078432
0.1,150614191.9793516,0.5019607843137256
0.1,150614242.18448392,0.5145098039215688
0.1,150614292.38961622,0.5239215686274511
0.1,150614342.5947485,0.5364705882352943
0.1,150614392.79988083,0.5458823529411766
0.1,150614443.0050131,0.5584313725490196
0.1,150614493.2101454,0.567843137254902
0.1,150614543.41527772,0.5772549019607843
0.1,150614593.62041003,0.5866666666666667
0.1,150614643.82554233,0.5898039215686275
0.1,150614694.0306746,0.5992156862745098
0.1,150614744.2358069,0.6054901960784315
0.1,150614794.44093922,0.6149019607843138
0.1,150614844.64607152,0.6180392156862746
0.1,150614894.85120383,0.6211764705882354
0.1,150614945.05633613,0.6211764705882354
0.1,150614995.26146844,0.6243137254901961
0.1,150615045.46660072,0.6243137254901961
0.1,150615095.67173302,0.627450980392157
0.1,150615145.87686533,0.627450980392157
0.1,150615196.08199763,0.6305882352941178
0.1,150615246.28712994,0.6305882352941178
0.1,150615296.4922622,0.6337254901960785
0.1,150615346.69739452,0.6368627450980393
0.1,150615396.90252683,0.6368627450980393
0.1,150615447.10765913,0.64
0.1,150615497.31279144,0.6431372549019608
0.1,150615547.51792374,0.6462745098039216
0.1,150615597.72305602,0.6494117647058825
0.1,150615647.92818832,0.6525490196078432
0.1,150615698.13332063,0.655686274509804
0.1,150615748.33845294,0.6588235294117648
0.1,150615798.54358524,0.6619607843137256
0.1,150615848.74871752,0.6650980392156863
0.1,150615898.95384985,0.668235294117647
0.1,150615949.15898216,0.6745098039215687
0.1,150615999.36411446,0.6776470588235295
0.1,150616049.56924677,0.6807843137254902
0.1,150616099.77437904,0.683921568627451
0.1,150616149.97951135,0.6901960784313727
0.1,150616200.18464366,0.6933333333333334
0.1,150616250.38977596,0.6964705882352942
0.1,150616300.59490824,0.699607843137255
0.1,150616350.80004054,0.7027450980392158
0.1,150616401.00517285,0.7058823529411765
0.1,150616451.21030515,0.7090196078431373
0.1,150616501.41543746,0.7121568627450982
0.1,150616551.62056974,0.715294117647059
0.1,150616601.82570204,0.715294117647059
0.1,150616652.03083435,0.7184313725490197
0.1,150616702.23596665,0.7184313725490197
0.1,150616752.44109896,0.7184313725490197
0.1,150616802.64623123,0.7184313725490197
0.1,150616852.85136354,0.7184313725490197
0.1,150616903.05649588,0.7184313725490197
0.10797751623277096,150613890.7485578,0.407843137254902
0.10797751623277096,150613940.9536901,0.4172549019607844
0.10797751623277096,150613991.15882242,0.42980392156862757
0.10797751623277096,150614041.36395472,0.43607843137254915
0.10797751623277096,150614091.569087,0.44862745098039214
0.10797751623277096,150614141.7742193,0.4611764705882353
0.10797751623277096,150614191.9793516,0.47372549019607846
0.10797751623277096,150614242.18448392,0.4862745098039216
0.10797751623277096,150614292.38961622,0.49568627450980396
0.10797751623277096,150614342.5947485,0.5082352941176471
0.10797751623277096,150614392.79988083,0.5176470588235295
0.10797751623277096,150614443.0050131,0.5301960784313726
0.10797751623277096,150614493.2101454,0.5427450980392158
0.10797751623277096,150614543.41527772,0.552156862745098
0.10797751623277096,150614593.62041003,0.5647058823529412
0.10797751623277096,150614643.82554233,0.5741176470588235
0.10797751623277096,150614694.0306746,0.583529411764706
0.10797751623277096,150614744.2358069,0.5929411764705883
0.10797751623277096,150614794.44093922,0.6023529411764706
0.10797751623277096,150614844.64607152,0.6054901960784315
0.10797751623277096,150614894.85120383,0.611764705882353
0.10797751623277096,150614945.05633613,0.6180392156862746
0.10797751623277096,150614995.26146844,0.6180392156862746
0.10797751623277096,150615045.46660072,0.6211764705882354
0.10797751623277096,150615095.67173302,0.6211764705882354
0.10797751623277096,150615145.87686533,0.6243137254901961
0.10797751623277096,150615196.08199763,0.6243137254901961
0.10797751623277096,150615246.28712994,0.627450980392157
0.10797751623277096,150615296.4922622,0.627450980392157
0.10797751623277096,150615346.69739452,0.6305882352941178
0.10797751623277096,150615396.90252683,0.6337254901960785
0.10797751623277096,150615447.10765913,0.6368627450980393
0.10797751623277096,150615497.31279144,0.6368627450980393
0.10797751623277096,150615547.51792374,0.64
0.10797751623277096,150615597.72305602,0.6431372549019608
0.10797751623277096,150615647.92818832,0.6494117647058825
0.10797751623277096,150615698.13332063,0.6525490196078432
0.10797751623277096,150615748.33845294,0.655686274509804
0.10797751623277096,150615798.54358524,0.6588235294117648
0.10797751623277096,150615848.74871752,0.6650980392156863
0.10797751623277096,150615898.95384985,0.668235294117647
0.10797751623277096,150615949.15898216,0.6713725490196079
0.10797751623277096,150615999.36411446,0.6776470588235295
0.10797751623277096,150616049.56924677,0.6807843137254902
0.10797751623277096,150616099.77437904,0.6870588235294118
0.10797751623277096,150616149.97951135,0.6901960784313727
0.10797751623277096,150616200.18464366,0.6964705882352942
0.10797751623277096,150616250.38977596,0.699607843137255
0.10797751623277096,150616300.59490824,0.7027450980392158
0.10797751623277096,150616350.80004054,0.7058823529411765
0.10797751623277096,150616401.00517285,0.7090196078431373
0.10797751623277096,150616451.21030515,0.7121568627450982
0.10797751623277096,150616501.41543746,0.715294117647059
0.10797751623277096,150616551.62056974,0.7184313725490197
0.10797751623277096,150616601.82570204,0.7215686274509805
0.10797751623277096,150616652.03083435,0.7215686274509805
0.10797751623277096,150616702.23596665,0.7215686274509805
0.10797751623277096,150616752.44109896,0.7247058823529413
0.10797751623277096,150616802.64623123,0.7247058823529413
0.10797751623277096,150616852.85136354,0.7184313725490197
0.10797751623277096,150616903.05649588,0.7121568627450982
0.11659144011798317,150613890.7485578,0.379607843137255
0.11659144011798317,150613940.9536901,0.38901960784313727
0.11659144011798317,150613991.15882242,0.39843137254901967
0.11659144011798317,150614041.36395472,0.407843137254902
0.11659144011798317,150614091.569087,0.42039215686274517
0.11659144011798317,150614141.7742193,0.42666666666666675
0.11659144011798317,150614191.9793516,0.4392156862745099
0.11659144011798317,150614242.18448392,0.4517647058823529
0.11659144011798317,150614292.38961622,0.46431372549019606
0.11659144011798317,150614342.5947485,0.4768627450980392
0.11659144011798317,150614392.79988083,0.4894117647058824
0.11659144011798317,150614443.0050131,0.5019607843137256
0.11659144011798317,150614493.2101454,0.5145098039215688
0.11659144011798317,150614543.41527772,0.5270588235294119
0.11659144011798317,150614593.62041003,0.5396078431372551
0.11659144011798317,150614643.82554233,0.552156862745098
0.11659144011798317,150614694.0306746,0.5615686274509804
0.11659144011798317,150614744.2358069,0.5709803921568628
0.11659144011798317,150614794.44093922,0.583529411764706
0.11659144011798317,150614844.64607152,0.5929411764705883
0.11659144011798317,150614894.85120383,0.5992156862745098
0.11659144011798317,150614945.05633613,0.6086274509803923
0.11659144011798317,150614995.26146844,0.611764705882353
0.11659144011798317,150615045.46660072,0.6149019607843138
0.11659144011798317,150615095.67173302,0.6180392156862746
0.11659144011798317,150615145.87686533,0.6180392156862746
0.11659144011798317,150615196.08199763,0.6211764705882354
0.11659144011798317,150615246.28712994,0.6211764705882354
0.11659144011798317,150615296.4922622,0.6243137254901961
0.11659144011798317,150615346.69739452,0.627450980392157
0.11659144011798317,150615396.90252683,0.627450980392157
0.11659144011798317,150615447.10765913,0.6305882352941178
0.11659144011798317,150615497.31279144,0.6337254901960785
0.11659144011798317,150615547.51792374,0.6368627450980393
0.11659144011798317,150615597.72305602,0.64
0.11659144011798317,150615647.92818832,0.6431372549019608
0.11659144011798317,150615698.13332063,0.6494117647058825
0.11659144011798317,150615748.33845294,0.6525490196078432
0.11659144011798317,150615798.54358524,0.655686274509804
0.11659144011798317,150615848.74871752,0.6619607843137256
0.11659144011798317,150615898.95384985,0.668235294117647
0.11659144011798317,150615949.15898216,0.6713725490196079
0.11659144011798317,150615999.36411446,0.6776470588235295
0.11659144011798317,150616049.56924677,0.683921568627451
0.11659144011798317,150616099.77437904,0.6870588235294118
0.11659144011798317,150616149.97951135,0.6933333333333334
0.11659144011798317,150616200.18464366,0.6964705882352942
0.11659144011798317,150616250.38977596,0.7027450980392158
0.11659144011798317,150616300.59490824,0.7058823529411765
0.11659144011798317,150616350.80004054,0.7121568627450982
0.11659144011798317,150616401.00517285,0.715294117647059
0.11659144011798317,150616451.21030515,0.7184313725490197
0.11659144011798317,150616501.41543746,0.7215686274509805
0.11659144011798317,150616551.62056974,0.7247058823529413
0.11659144011798317,150616601.82570204,0.7247058823529413
0.11659144011798317,150616652.03083435,0.7278431372549021
0.11659144011798317,150616702.23596665,0.7278431372549021
0.11659144011798317,150616752.44109896,0.7278431372549021
0.11659144011798317,150616802.64623123,0.7184313725490197
0.11659144011798317,150616852.85136354,0.7121568627450982
0.11659144011798317,150616903.05649588,0.7058823529411765
0.12589254117941673,150613890.7485578,0.35450980392156867
0.12589254117941673,150613940.9536901,0.36078431372549025
0.12589254117941673,150613991.15882242,0.37019607843137264
0.12589254117941673,150614041.36395472,0.3764705882352942
0.12589254117941673,150614091.569087,0.38901960784313727
0.12589254117941673,150614141.7742193,0.39843137254901967
0.12589254117941673,150614191.9793516,0.407843137254902
0.12589254117941673,150614242.18448392,0.42039215686274517
0.12589254117941673,150614292.38961622,0.43294117647058833
0.12589254117941673,150614342.5947485,0.4454901960784313
0.12589254117941673,150614392.79988083,0.4580392156862745
0.12589254117941673,150614443.0050131,0.47372549019607846
0.12589254117941673,150614493.2101454,0.4862745098039216
0.12589254117941673,150614543.41527772,0.4988235294117648
0.12589254117941673,150614593.62041003,0.5113725490196079
0.12589254117941673,150614643.82554233,0.5270588235294119
0.12589254117941673,150614694.0306746,0.5396078431372551
0.12589254117941673,150614744.2358069,0.552156862745098
0.12589254117941673,150614794.44093922,0.5647058823529412
0.12589254117941673,150614844.64607152,0.5741176470588235
0.12589254117941673,150614894.85120383,0.5866666666666667
0.12589254117941673,150614945.05633613,0.5960784313725491
0.12589254117941673,150614995.26146844,0.5992156862745098
0.12589254117941673,150615045.46660072,0.6086274509803923
0.12589254117941673,150615095.67173302,0.611764705882353
0.12589254117941673,150615145.87686533,0.6149019607843138
0.12589254117941673,150615196.08199763,0.6149019607843138
0.12589254117941673,150615246.28712994,0.6180392156862746
0.12589254117941673,150615296.4922622,0.6180392156862746
0.12589254117941673,150615346.69739452,0.6211764705882354
0.12589254117941673,150615396.90252683,0.6243137254901961
0.12589254117941673,150615447.10765913,0.627450980392157
0.12589254117941673,150615497.31279144,0.6305882352941178
0.12589254117941673,150615547.51792374,0.6337254901960785
0.12589254117941673,150615597.72305602,0.6368627450980393
0.12589254117941673,150615647.92818832,0.64
0.12589254117941673,150615698.13332063,0.6431372549019608
0.12589254117941673,150615748.33845294,0.6494117647058825
0.12589254117941673,150615798.54358524,0.655686274509804
0.12589254117941673,150615848.74871752,0.6588235294117648
0.12589254117941673,150615898.95384985,0.6650980392156863
0.12589254117941673,150615949.15898216,0.6713725490196079
0.12589254117941673,150615999.36411446,0.6776470588235295
0.12589254117941673,150616049.56924677,0.683921568627451
0.12589254117941673,150616099.77437904,0.6901960784313727
