omega0,L_int,width,label
364624187490870.25,0.4679259562709465,0.2684904738641915,"$0.29999999999999993\,\omega_0$"
364624187490870.25,0.5478383107115478,0.2649731314118222,"$0.29999999999999993\,\omega_0$"
364624187490870.25,0.641398090148899,0.2614557889594529,"$0.29999999999999993\,\omega_0$"
364624187490870.25,0.7509360006464835,0.25676599902296043,"$0.29999999999999993\,\omega_0$"
364624187490870.25,0.8791807860482189,0.252076209086468,"$0.29999999999999993\,\omega_0$"
364624187490870.25,1.0293272048362592,0.24660478749389353,"$0.29999999999999993\,\omega_0$"
364624187490870.25,1.205115616070705,0.24074255007327797,"$0.29999999999999993\,\omega_0$"
364624187490870.25,1.4109251570092343,0.23448949682462145,"$0.29999999999999993\,\omega_0$"
364624187490870.25,1.6518828335925702,0.22706399609184172,"$0.29999999999999993\,\omega_0$"
364624187490870.25,1.9339912413936493,0.21924767953102103,"$0.29999999999999993\,\omega_0$"
364624187490870.25,2.2642780987394677,0.2102589154860772,"$0.29999999999999993\,\omega_0$"
364624187490870.25,2.650971317086573,0.20009770395701026,"$0.29999999999999993\,\omega_0$"
364624187490870.25,3.103703969900181,0.18798241328773815,"$0.29999999999999993\,\omega_0$"
364624187490870.25,3.633754266100781,0.17430385930630196,"$0.29999999999999993\,\omega_0$"
364624187490870.25,4.254326506155255,0.18290180752320462,"$0.29999999999999993\,\omega_0$"
364624187490870.25,4.9808800198249825,0.18524670249145092,"$0.29999999999999993\,\omega_0$"
364624187490870.25,5.831514279874208,0.18759159745969708,"$0.29999999999999993\,\omega_0$"
364624187490870.25,6.82741978546428,0.19071812408402544,"$0.29999999999999993\,\omega_0$"
364624187490870.25,7.9934059473750665,0.1934538348803126,"$0.29999999999999993\,\omega_0$"
364624187490870.25,9.358519125418928,0.19658036150464098,"$0.29999999999999993\,\omega_0$"
500222932468645.5,0.4679259562709465,0.18133854421104062,"$0.4115658941148854\,\omega_0$"
500222932468645.5,0.5478383107115478,0.18133854421104062,"$0.4115658941148854\,\omega_0$"
500222932468645.5,0.641398090148899,0.18133854421104062,"$0.4115658941148854\,\omega_0$"
500222932468645.5,0.7509360006464835,0.18172936003908163,"$0.4115658941148854\,\omega_0$"
500222932468645.5,0.8791807860482189,0.18172936003908163,"$0.4115658941148854\,\omega_0$"
500222932468645.5,1.0293272048362592,0.18172936003908163,"$0.4115658941148854\,\omega_0$"
500222932468645.5,1.205115616070705,0.1821201758671227,"$0.4115658941148854\,\omega_0$"
500222932468645.5,1.4109251570092343,0.1825109916951637,"$0.4115658941148854\,\omega_0$"
500222932468645.5,1.6518828335925702,0.18290180752320478,"$0.4115658941148854\,\omega_0$"
500222932468645.5,1.9339912413936493,0.18329262335124577,"$0.4115658941148854\,\omega_0$"
500222932468645.5,2.2642780987394677,0.18368343917928678,"$0.4115658941148854\,\omega_0$"
500222932468645.5,2.650971317086573,0.18407425500732785,"$0.4115658941148854\,\omega_0$"
500222932468645.5,3.103703969900181,0.18446507083536884,"$0.4115658941148854\,\omega_0$"
500222932468645.5,3.633754266100781,0.18485588666340994,"$0.4115658941148854\,\omega_0$"
500222932468645.5,4.254326506155255,0.18524670249145092,"$0.4115658941148854\,\omega_0$"
500222932468645.5,4.9808800198249825,0.185637518319492,"$0.4115658941148854\,\omega_0$"
500222932468645.5,5.831514279874208,0.186028334147533,"$0.4115658941148854\,\omega_0$"
500222932468645.5,6.82741978546428,0.18641914997557407,"$0.4115658941148854\,\omega_0$"
500222932468645.5,7.9934059473750665,0.18680996580361509,"$0.4115658941148854\,\omega_0$"
500222932468645.5,9.358519125418928,0.18680996580361509,"$0.4115658941148854\,\omega_0$"
686248994860760.2,0.4679259562709465,0.35134342940889113,"$0.564621617328617\,\omega_0$"
