sigmaE,L_int,width,label
10.0,0.00023696670552765515,79.21798631476051,"$0.1\,\sigma_E$"
10.0,0.0008031382875963841,79.21798631476051,"$0.1\,\sigma_E$"
10.0,0.002722032648286843,79.21798631476051,"$0.1\,\sigma_E$"
10.0,0.009225636297971013,79.21798631476051,"$0.1\,\sigma_E$"
10.0,0.031267944253353205,79.21798631476051,"$0.1\,\sigma_E$"
10.0,0.10597473239280242,79.21798631476051,"$0.1\,\sigma_E$"
10.0,0.35917436127965824,79.13978494623656,"$0.1\,\sigma_E$"
10.0,1.2173300077086329,77.81036168132943,"$0.1\,\sigma_E$"
10.0,4.125829979590542,60.215053763440864,"$0.1\,\sigma_E$"
10.0,13.983449773434334,21.661779081133925,"$0.1\,\sigma_E$"
10.0,47.39334110553101,7.741935483870961,"$0.1\,\sigma_E$"
25.0,0.00023696670552765515,194.52590420332356,"$0.25\,\sigma_E$"
25.0,0.0008031382875963841,194.52590420332356,"$0.25\,\sigma_E$"
25.0,0.002722032648286843,194.52590420332356,"$0.25\,\sigma_E$"
25.0,0.009225636297971013,194.52590420332356,"$0.25\,\sigma_E$"
25.0,0.031267944253353205,194.52590420332356,"$0.25\,\sigma_E$"
25.0,0.10597473239280242,194.52590420332356,"$0.25\,\sigma_E$"
25.0,0.35917436127965824,193.15738025415448,"$0.25\,\sigma_E$"
25.0,1.2173300077086329,170.47898338220924,"$0.25\,\sigma_E$"
25.0,4.125829979590542,69.20821114369502,"$0.25\,\sigma_E$"
25.0,13.983449773434334,21.114369501466278,"$0.25\,\sigma_E$"
25.0,47.39334110553101,8.21114369501467,"$0.25\,\sigma_E$"
50.0,0.00023696670552765515,374.9755620723363,"$0.5\,\sigma_E$"
50.0,0.0008031382875963841,374.9755620723363,"$0.5\,\sigma_E$"
50.0,0.002722032648286843,374.9755620723363,"$0.5\,\sigma_E$"
50.0,0.009225636297971013,374.9755620723363,"$0.5\,\sigma_E$"
50.0,0.031267944253353205,374.58455522971656,"$0.5\,\sigma_E$"
50.0,0.10597473239280242,373.4115347018573,"$0.5\,\sigma_E$"
50.0,0.35917436127965824,361.2903225806452,"$0.5\,\sigma_E$"
50.0,1.2173300077086329,240.86021505376345,"$0.5\,\sigma_E$"
50.0,4.125829979590542,70.77223851417399,"$0.5\,\sigma_E$"
50.0,13.983449773434334,19.94134897360705,"$0.5\,\sigma_E$"
50.0,47.39334110553101,7.4291300097751956,"$0.5\,\sigma_E$"
150.0,0.00023696670552765515,520.8211143695014,"$1.5\,\sigma_E$"
150.0,0.0008031382875963841,520.8211143695014,"$1.5\,\sigma_E$"
150.0,0.002722032648286843,520.8211143695014,"$1.5\,\sigma_E$"
150.0,0.009225636297971013,520.8211143695014,"$1.5\,\sigma_E$"
150.0,0.031267944253353205,521.9941348973607,"$1.5\,\sigma_E$"
150.0,0.10597473239280242,526.6862170087976,"$1.5\,\sigma_E$"
150.0,0.35917436127965824,588.8563049853371,"$1.5\,\sigma_E$"
150.0,1.2173300077086329,693.2551319648094,"$1.5\,\sigma_E$"
150.0,4.125829979590542,73.90029325513203,"$1.5\,\sigma_E$"
150.0,13.983449773434334,19.941348973607088,"$1.5\,\sigma_E$"
150.0,47.39334110553101,7.038123167155497,"$1.5\,\sigma_E$"
