v0,width
299762448.77795213,0.7067856234980776
299762450.7763686,0.7198652752009207
299762452.77478516,0.7392425369829103
299762454.7732017,0.7610419564876488
299762456.77161825,0.7581353672203504
299762458.77003473,0.802703069318927
299762460.7684513,0.8090006793980736
299762462.7668678,0.8516306553184511
299762464.7652843,0.9339840178919077
299762466.76370084,0.9916313716933275
299762468.7621174,1.0429811154156001
299762470.76053387,1.2236740815326552
299762472.7589504,1.4891425679459152
299762474.75736696,1.76429968525017
299762475.75657517,1.7986943249132017
299762476.1848073,1.8931584761004026
299762476.6130394,1.8999405177240987
299762476.75578344,1.922224368773387
299762477.0412715,1.9382106097435285
299762477.46950364,1.9556501453473194
299762477.8977357,1.9517746929909212
299762478.32596785,1.9735741124956598
299762478.7542,1.9634010500601153
299762479.1824321,1.9813250172084556
299762479.6106642,1.9551657138027694
299762480.0388963,1.982778311842105
299762480.46712846,1.980840585663906
299762480.7526165,1.9822938802975552
299762480.89536047,1.9822938802975552
299762481.3235926,1.93578845202078
299762481.75182474,1.9285219788525334
299762482.751033,1.931428568119832
299762484.7494496,1.785614673210359
299762486.7478661,1.567136046618424
299762488.74628264,1.353017303927437
299762490.7446991,1.2081722721070633
299762492.74311566,1.0492787254947469
299762494.74153215,0.9775828569013849
299762496.73994875,0.9141223245653682
299762498.73836523,0.8869941580705825
299762500.7367818,0.846301908328404
299762502.73519826,0.8390354351601578
299762504.7336148,0.7934988699724818
299762506.73203135,0.7591042303094497
299762508.7304479,0.7644329772994971
