sigmaE,width
1.0,6.722032242305813
5.975,7.308939912066438
10.95,7.574596971177337
15.924999999999999,7.592965315095258
20.9,7.923009281875919
25.875,7.685393258426966
30.849999999999998,6.992867611138242
35.824999999999996,7.700537371763547
40.8,6.697020029311182
45.775,6.619149975573981
50.75,6.941866145578915
55.724999999999994,8.27572056668297
60.699999999999996,7.591206643869098
65.675,6.930043966780665
70.64999999999999,5.79833903273083
75.625,5.91108939912068
80.6,6.929946262823632
85.57499999999999,6.35437225207621
90.55,6.7237909135320235
95.52499999999999,7.466536394723966
100.5,6.677088422081144
105.475,6.183194919394264
110.44999999999999,5.611529066927197
115.425,7.217586712261832
120.39999999999999,5.646507083536898
125.37499999999999,6.85979482169028
130.35,5.6037127503664115
135.325,7.404201270151438
140.29999999999998,8.224719101123567
145.27499999999998,6.8130923302394
150.25,5.872007816316597
155.225,6.066438690766912
160.2,6.886956521739118
165.17499999999998,5.809770395701063
170.14999999999998,7.314704445530071
175.125,213.5378602833415
180.1,224.53111871030788
185.075,245.92281387396193
190.04999999999998,277.04406448461157
195.02499999999998,294.20478749389326
200.0,331.4118221787983
