sigmaE,width
0.1,0.8
11.090000000000002,87.76672039072041
22.080000000000005,172.49898901098905
33.07000000000001,254.6753406593407
44.06000000000001,333.715496947497
55.05000000000001,408.8890842490843
66.04,479.0359365079365
77.03,542.2009084249084
88.02000000000001,594.9679120879122
99.01000000000002,630.569181929182
110.00000000000001,638.6715506715508
