L_int,loss,width
0.00047393341105530986,0.001,632.3400097703958
0.0008687108006834028,0.001,632.3400097703958
0.001592330140944478,0.001,632.3400097703958
0.0029187104336283244,0.001,632.3400097703958
0.005349939925346087,0.001,632.3400097703958
0.009806336687271709,0.001,632.3400097703958
0.017974825991697488,0.001,631.9491939423547
0.032947509323351006,0.001,631.1675622862726
0.06039214905967422,0.001,628.4318514899853
0.11069764431210007,0.001,620.6155349291646
0.2029066467586693,0.001,601.8563751831949
0.3719239696083316,0.001,573.7176355642404
0.6817294621883015,0.001,524.47484123107
1.2495969541973269,0.001,286.0771861260381
2.290487113358663,0.001,132.87738153395213
4.198418697196695,0.001,70.34684904738646
7.695620487959787,0.001,39.08158280410356
14.1059239123172,0.001,20.322423058133854
25.855886439747408,0.001,11.333659013190019
47.39334110553101,0.001,6.6438690766976505
0.00047393341105530986,0.01,632.3400097703958
0.0008687108006834028,0.01,632.3400097703958
0.001592330140944478,0.01,632.3400097703958
0.0029187104336283244,0.01,632.3400097703958
0.005349939925346087,0.01,632.3400097703958
0.009806336687271709,0.01,632.3400097703958
0.017974825991697488,0.01,631.9491939423547
0.032947509323351006,0.01,631.1675622862726
0.06039214905967422,0.01,628.4318514899853
0.11069764431210007,0.01,620.6155349291646
0.2029066467586693,0.01,601.8563751831949
0.3719239696083316,0.01,573.7176355642404
0.6817294621883015,0.01,524.47484123107
1.2495969541973269,0.01,286.0771861260381
2.290487113358663,0.01,133.26819736199317
4.198418697196695,0.01,72.30092818759167
7.695620487959787,0.01,41.035661944308764
14.1059239123172,0.01,23.448949682462075
25.855886439747408,0.01,14.460185637518316
47.39334110553101,0.01,10.942843185148963
0.00047393341105530986,0.1,632.3400097703958
0.0008687108006834028,0.1,632.3400097703958
0.001592330140944478,0.1,632.3400097703958
0.0029187104336283244,0.1,632.3400097703958
0.005349939925346087,0.1,632.3400097703958
0.009806336687271709,0.1,632.3400097703958
0.017974825991697488,0.1,631.9491939423547
0.032947509323351006,0.1,631.1675622862726
0.06039214905967422,0.1,628.4318514899853
0.11069764431210007,0.1,620.6155349291646
0.2029066467586693,0.1,602.2471910112359
0.3719239696083316,0.1,574.8900830483635
0.6817294621883015,0.1,533.4636052760137
1.2495969541973269,0.1,343.1362970200293
2.290487113358663,0.1,174.30385930630192
4.198418697196695,0.1,109.42843185148995
7.695620487959787,0.1,82.46213971665851
14.1059239123172,0.1,70.73766487542751
25.855886439747408,0.1,67.22032242305816
47.39334110553101,0.1,64.48461162677084
0.00047393341105530986,0.5,632.3400097703958
0.0008687108006834028,0.5,632.3400097703958
0.001592330140944478,0.5,632.3400097703958
0.0029187104336283244,0.5,632.3400097703958
0.005349939925346087,0.5,632.3400097703958
0.009806336687271709,0.5,632.3400097703958
0.017974825991697488,0.5,631.9491939423547
0.032947509323351006,0.5,631.1675622862726
0.06039214905967422,0.5,628.4318514899853
0.11069764431210007,0.5,621.3971665852467
0.2029066467586693,0.5,604.9829018075233
0.3719239696083316,0.5,581.5339521250611
0.6817294621883015,0.5,559.6482657547631
1.2495969541973269,0.5,522.9115779189056
2.290487113358663,0.5,484.22081094284306
4.198418697196695,0.5,461.9443087445041
7.695620487959787,0.5,451.0014655593552
14.1059239123172,0.5,445.53004396678074
25.855886439747408,0.5,442.4035173424523
47.39334110553101,0.5,277.0884220810943
