loss,L_int,width,label
0,1.2864905343886687e-06,2.008402540302882,0 dB/cm
0,1.9476440780862765e-06,1.9591597459697114,0 dB/cm
0,2.9485778196627776e-06,1.8817782120175865,0 dB/cm
0,4.463911685111364e-06,1.786809965803615,0 dB/cm
0,6.758006317348197e-06,1.5511480214948703,0 dB/cm
0,1.0231082648351891e-05,1.0798241328773814,0 dB/cm
0,1.548904325358504e-05,0.6401563263312164,0 dB/cm
0,2.3449176314695786e-05,0.4033219345383487,0 dB/cm
0,3.5500182989702684e-05,0.2614557889594528,0 dB/cm
0,5.374444609009833e-05,0.17117733268197358,0 dB/cm
0,8.136480553830737e-05,0.11138251099169519,0 dB/cm
0,0.00012317982716182933,0.07386419149975575,0 dB/cm
0,0.00018648443536775161,0.048070346849047346,0 dB/cm
0,0.0002823225639758451,0.031656082071323845,0 dB/cm
0,0.0004274138480925397,0.019931607230092796,0 dB/cm
0,0.00064707048196439,0.012896922325354198,0 dB/cm
0,0.0009796131091638735,0.008207132388861749,0 dB/cm
0,0.001483056128186238,0.005862237420615449,0 dB/cm
0,0.0022452287120045262,0.0035173424523692993,0 dB/cm
0,0.0033990972245768352,0.0011724474841231498,0 dB/cm
0,0.005145962137554671,0.0011724474841231498,0 dB/cm
100,1.2864905343886687e-06,2.008402540302882,100 dB/cm
100,1.9476440780862765e-06,1.9591597459697114,100 dB/cm
100,2.9485778196627776e-06,1.8817782120175865,100 dB/cm
100,4.463911685111364e-06,1.786809965803615,100 dB/cm
100,6.758006317348197e-06,1.5511480214948703,100 dB/cm
100,1.0231082648351891e-05,1.0798241328773814,100 dB/cm
100,1.548904325358504e-05,0.6401563263312164,100 dB/cm
100,2.3449176314695786e-05,0.4033219345383487,100 dB/cm
100,3.5500182989702684e-05,0.2614557889594528,100 dB/cm
100,5.374444609009833e-05,0.17117733268197358,100 dB/cm
100,8.136480553830737e-05,0.11138251099169519,100 dB/cm
100,0.00012317982716182933,0.07386419149975575,100 dB/cm
100,0.00018648443536775161,0.048070346849047346,100 dB/cm
100,0.0002823225639758451,0.031656082071323845,100 dB/cm
100,0.0004274138480925397,0.019931607230092796,100 dB/cm
100,0.00064707048196439,0.012896922325354198,100 dB/cm
100,0.0009796131091638735,0.008207132388861749,100 dB/cm
100,0.001483056128186238,0.005862237420615449,100 dB/cm
100,0.0022452287120045262,0.0035173424523692993,100 dB/cm
100,0.0033990972245768352,0.0035173424523692993,100 dB/cm
100,0.005145962137554671,0.0011724474841231498,100 dB/cm
500,1.2864905343886687e-06,2.008402540302882,500 dB/cm
500,1.9476440780862765e-06,1.9591597459697114,500 dB/cm
500,2.9485778196627776e-06,1.8817782120175865,500 dB/cm
500,4.463911685111364e-06,1.786809965803615,500 dB/cm
500,6.758006317348197e-06,1.5511480214948703,500 dB/cm
500,1.0231082648351891e-05,1.0809965803615045,500 dB/cm
500,1.548904325358504e-05,0.6413287738153396,500 dB/cm
500,2.3449176314695786e-05,0.4033219345383487,500 dB/cm
500,3.5500182989702684e-05,0.26262823644357597,500 dB/cm
500,5.374444609009833e-05,0.17117733268197358,500 dB/cm
500,8.136480553830737e-05,0.11372740595994149,500 dB/cm
500,0.00012317982716182933,0.07620908646800204,500 dB/cm
500,0.00018648443536775161,0.05158768930141679,500 dB/cm
500,0.0002823225639758451,0.0363458720078163,500 dB/cm
500,0.0004274138480925397,0.024621397166585245,500 dB/cm
500,0.00064707048196439,0.017586712261846646,500 dB/cm
500,0.0009796131091638735,0.014069369809477197,500 dB/cm
500,0.001483056128186238,0.010552027357108048,500 dB/cm
500,0.0022452287120045262,0.010552027357108048,500 dB/cm
500,0.0033990972245768352,0.010552027357108048,500 dB/cm
500,0.005145962137554671,0.008207132388861749,500 dB/cm
1000,1.2864905343886687e-06,2.008402540302882,1000 dB/cm
1000,1.9476440780862765e-06,1.9591597459697114,1000 dB/cm
1000,2.9485778196627776e-06,1.8817782120175865,1000 dB/cm
1000,4.463911685111364e-06,1.7879824132877382,1000 dB/cm
1000,6.758006317348197e-06,1.5511480214948703,1000 dB/cm
1000,1.0231082648351891e-05,1.0809965803615045,1000 dB/cm
1000,1.548904325358504e-05,0.6425012212994627,1000 dB/cm
1000,2.3449176314695786e-05,0.40566682950659483,1000 dB/cm
1000,3.5500182989702684e-05,0.26497313141182227,1000 dB/cm
1000,5.374444609009833e-05,0.17586712261846602,1000 dB/cm
1000,8.136480553830737e-05,0.11841719589643378,1000 dB/cm
1000,0.00012317982716182933,0.08324377137274064,1000 dB/cm
1000,0.00018648443536775161,0.05862237420615539,1000 dB/cm
1000,0.0002823225639758451,0.042208109428431895,1000 dB/cm
1000,0.0004274138480925397,0.031656082071323845,1000 dB/cm
1000,0.00064707048196439,0.025793844650708397,1000 dB/cm
1000,0.0009796131091638735,0.022276502198338946,1000 dB/cm
1000,0.001483056128186238,0.019931607230092796,1000 dB/cm
1000,0.0022452287120045262,0.019931607230092796,1000 dB/cm
1000,0.0033990972245768352,0.019931607230092796,1000 dB/cm
1000,0.005145962137554671,0.018759159745969797,1000 dB/cm
