sigmaE,width
0.0003,0.0023436399217221134
0.016785,0.006569471624266147
0.03327,0.0067711937377690915
0.049755,0.007010489236790633
0.06624,0.005185127201565568
0.08272499999999999,0.0064755381604696734
0.09920999999999999,0.00465956947162423
0.11569499999999999,0.005433816046966731
0.13218,0.006208062622309231
0.148665,0.006982309197651657
0.16515,0.0025855185909980775
0.181635,0.0028436007827789362
0.19812,0.003101682974559645
0.214605,0.0033597651663405032
0.23109,0.003617847358121362
0.247575,0.0038759295499022207
0.26406,0.004134011741682929
0.280545,0.004392093933463788
0.29703,0.004650176125244646
0.31351500000000004,0.004908258317025505
0.33,0.0051663405088062135
