loss,label,L_int,width
0,0 dB/cm,1.2864905343886689e-08,2.0553004396678065
0,0 dB/cm,5.121611065893292e-08,2.0553004396678065
0,0 dB/cm,2.0389500901182621e-07,2.0541279921836835
0,0 dB/cm,8.117206512767789e-07,2.035368832437714
0,0 dB/cm,3.231518117596409e-06,1.8618466047874938
0,0 dB/cm,1.2864905343886687e-05,0.8042989741084514
0,0 dB/cm,5.1216110658932916e-05,0.17938446507083533
0,0 dB/cm,0.0002038950090118262,0.0445530043966782
0,0 dB/cm,0.0008117206512767789,0.010552027357108048
0,0 dB/cm,0.003231518117596402,0.0011724474841231498
0,0 dB/cm,0.012864905343886675,0.0011724474841231498
100,100 dB/cm,1.2864905343886689e-08,2.0553004396678065
100,100 dB/cm,5.121611065893292e-08,2.0553004396678065
100,100 dB/cm,2.0389500901182621e-07,2.0541279921836835
100,100 dB/cm,8.117206512767789e-07,2.035368832437714
100,100 dB/cm,3.231518117596409e-06,1.8618466047874938
100,100 dB/cm,1.2864905343886687e-05,0.8042989741084514
100,100 dB/cm,5.1216110658932916e-05,0.17938446507083533
100,100 dB/cm,0.0002038950090118262,0.0445530043966782
100,100 dB/cm,0.0008117206512767789,0.010552027357108048
100,100 dB/cm,0.003231518117596402,0.0035173424523692993
100,100 dB/cm,0.012864905343886675,0.0011724474841231498
500,500 dB/cm,1.2864905343886689e-08,2.0553004396678065
500,500 dB/cm,5.121611065893292e-08,2.0553004396678065
500,500 dB/cm,2.0389500901182621e-07,2.0541279921836835
500,500 dB/cm,8.117206512767789e-07,2.035368832437714
500,500 dB/cm,3.231518117596409e-06,1.8618466047874938
500,500 dB/cm,1.2864905343886687e-05,0.8042989741084514
500,500 dB/cm,5.1216110658932916e-05,0.18172936003908163
500,500 dB/cm,0.0002038950090118262,0.048070346849047346
500,500 dB/cm,0.0008117206512767789,0.015241817293600348
500,500 dB/cm,0.003231518117596402,0.010552027357108048
500,500 dB/cm,0.012864905343886675,0.008207132388861749
1500,1500 dB/cm,1.2864905343886689e-08,2.0553004396678065
1500,1500 dB/cm,5.121611065893292e-08,2.0553004396678065
1500,1500 dB/cm,2.0389500901182621e-07,2.0541279921836835
1500,1500 dB/cm,8.117206512767789e-07,2.035368832437714
1500,1500 dB/cm,3.231518117596409e-06,1.8618466047874938
1500,1500 dB/cm,1.2864905343886687e-05,0.8078163165608209
1500,1500 dB/cm,5.1216110658932916e-05,0.18993649242794322
1500,1500 dB/cm,0.0002038950090118262,0.05862237420615539
1500,1500 dB/cm,0.0008117206512767789,0.032828529555446996
1500,1500 dB/cm,0.003231518117596402,0.029311187103077695
1500,1500 dB/cm,0.012864905343886675,0.026966292134831548
