sigmaE,width
0.0002,0.0016
0.015190000000000004,0.11498666666666672
0.030180000000000005,0.19282158357771265
0.04517000000000001,0.22430459433040087
0.06016000000000001,0.23287741935483874
0.07515000000000002,0.23507331378299126
0.09014000000000003,0.23614389051808413
0.10513000000000003,0.23677372434017604
0.12012000000000003,0.23577806451612912
0.13511000000000004,0.23561704789833826
0.15010000000000004,0.23593431085043992
0.16509000000000004,0.23754885630498543
0.18008000000000005,0.23658604105571862
0.19507000000000005,0.23797395894428158
0.21006000000000005,0.2381912023460411
0.22505000000000006,0.23758944281524932
0.24004000000000006,0.2383974975562073
0.25503000000000003,0.23732997067448683
0.27002000000000004,0.2386100488758553
0.28501000000000004,0.23848344086021514
0.30000000000000004,0.23929618768328456
